youtube_id,youtube_url,title,beat_file,parsed_file,measure_count,duration_sec,duration_min,time_signatures,primary_time_signature,time_signature_count,has_meter_change,contains_non_44,contains_odd_meter,contains_uncommon_meter,annotation_event_count,annotation_label_count,annotation_labels
AbN3uiKT_p0,https://www.youtube.com/watch?v=AbN3uiKT_p0,灼熱の陽光,灼熱の陽光_AbN3uiKT_p0.beat,灼熱の陽光_AbN3uiKT_p0.beat.beats.json,95,115.4286,1.92,4/4|5/4|3/4|7/4,4/4,4,true,true,true,true,1,1,fermata
SpkDz7xd1is,https://www.youtube.com/watch?v=SpkDz7xd1is,璃月の一日が終わる,璃月の一日が終わる_SpkDz7xd1is.beat,璃月の一日が終わる_SpkDz7xd1is.beat.beats.json,52,91.0345,1.52,7/8|6/8,7/8,2,true,true,true,true,0,0,
r-_A53DHKZ0,https://www.youtube.com/watch?v=r-_A53DHKZ0,盃の飛び交う宴会,盃の飛び交う宴会_r-_A53DHKZ0.beat,盃の飛び交う宴会_r-_A53DHKZ0.beat.beats.json,49,89.0000,1.48,7/8|8/8|6/8|5/8|6/4,7/8,5,true,true,true,true,0,0,
f8aL4Nq7CIE,https://www.youtube.com/watch?v=f8aL4Nq7CIE,真っ白,真っ白_f8aL4Nq7CIE.beat,真っ白_f8aL4Nq7CIE.beat.beats.json,145,252.4719,4.21,5/8|6/8,5/8,2,true,true,true,true,0,0,
lW3IIGV63hk,https://www.youtube.com/watch?v=lW3IIGV63hk,神秘なる島,神秘なる島_lW3IIGV63hk.beat,神秘なる島_lW3IIGV63hk.beat.beats.json,27,75.6000,1.26,7/4,7/4,1,false,true,true,true,1,1,rit
Ui7L0VZqAT0,https://www.youtube.com/watch?v=Ui7L0VZqAT0,終焉のフィナーレ,終焉のフィナーレ_Ui7L0VZqAT0.beat,終焉のフィナーレ_Ui7L0VZqAT0.beat.beats.json,103,202.9787,3.38,7/4|6/4,6/4,2,true,true,true,true,0,0,
jzClieKcJ0c,https://www.youtube.com/watch?v=jzClieKcJ0c,繁忙なモンドの午後,繁忙なモンドの午後_jzClieKcJ0c.beat,繁忙なモンドの午後_jzClieKcJ0c.beat.beats.json,85,105.6122,1.76,7/8|2/8|6/4,7/8,3,true,true,true,true,0,0,
qwT0sXA199g,https://www.youtube.com/watch?v=qwT0sXA199g,蒼銀の聖なる呪文,蒼銀の聖なる呪文_qwT0sXA199g.beat,蒼銀の聖なる呪文_qwT0sXA199g.beat.beats.json,112,233.8286,3.90,6/4|7/4|8/4,6/4,3,true,true,true,true,0,0,
1SlMYyxwP0o,https://www.youtube.com/watch?v=1SlMYyxwP0o,蝋人形,蝋人形_1SlMYyxwP0o.beat,蝋人形_1SlMYyxwP0o.beat.beats.json,131,196.4651,3.27,5/8|6/8,5/8,2,true,true,true,true,0,0,
xSOc_rdpf5I,https://www.youtube.com/watch?v=xSOc_rdpf5I,赭泉の舞,赭泉の舞_xSOc_rdpf5I.beat,赭泉の舞_xSOc_rdpf5I.beat.beats.json,145,240.5714,4.01,6/4|5/4|2/4,6/4,3,true,true,true,true,0,0,
xbw2PZP_l8w,https://www.youtube.com/watch?v=xbw2PZP_l8w,路地裏のアイアンフラワー,路地裏のアイアンフラワー_xbw2PZP_l8w.beat,路地裏のアイアンフラワー_xbw2PZP_l8w.beat.beats.json,126,226.0000,3.77,5/4|6/4,5/4,2,true,true,true,true,0,0,
aC-V-2VurFM,https://www.youtube.com/watch?v=aC-V-2VurFM,踊り子たち,踊り子たち_aC-V-2VurFM.beat,踊り子たち_aC-V-2VurFM.beat.beats.json,120,249.9505,4.17,7/8|13/16|4/4,7/8,3,true,true,true,true,1,1,fermata
vW1W-n6WHmk,https://www.youtube.com/watch?v=vW1W-n6WHmk,闇夜の断片,闇夜の断片_vW1W-n6WHmk.beat,闇夜の断片_vW1W-n6WHmk.beat.beats.json,43,98.0000,1.63,5/4|6/4,6/4,2,true,true,true,true,0,0,
voNmhJICziA,https://www.youtube.com/watch?v=voNmhJICziA,雲になる,雲になる_voNmhJICziA.beat,雲になる_voNmhJICziA.beat.beats.json,117,244.5000,4.08,7/8|6/8,7/8,2,true,true,true,true,0,0,
4tivJhZgco0,https://www.youtube.com/watch?v=4tivJhZgco0,雲霧に覆われて,雲霧に覆われて_4tivJhZgco0.beat,雲霧に覆われて_4tivJhZgco0.beat.beats.json,13,47.4546,0.79,7/4|6/4,7/4,2,true,true,true,true,0,0,
nPEVQ-e_Jac,https://www.youtube.com/watch?v=nPEVQ-e_Jac,風を感じて,風を感じて_nPEVQ-e_Jac.beat,風を感じて_nPEVQ-e_Jac.beat.beats.json,59,92.7551,1.55,5/8|6/8,5/8,2,true,true,true,true,1,1,fermata
MvXTxKBuYNQ,https://www.youtube.com/watch?v=MvXTxKBuYNQ,魔導の奥義,魔導の奥義_MvXTxKBuYNQ.beat,魔導の奥義_MvXTxKBuYNQ.beat.beats.json,168,224.6809,3.74,6/4|4/4|7/8,4/4,3,true,true,true,true,0,0,
